,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.SB,location.geoIdV4.ZI,vintage.lastModified,vintage.pubDate,location.geoIdV4.N4,identifier.apnOrig,location.geoIdV4.PL
3921,26479814,34029,07  01429-  02-00002-0000-C1196,26479814,US,NJ,1196 BAYLIS CT,"BRICK, NJ 08724",BRICK,ExaStr,"1196 BAYLIS CT, BRICK, NJ 08724",08724,7160,C073,Rooftop,40.105422,-74.141160,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3922,26517862,34029,07  01408-  07-00037,26517862,US,NJ,571 MICHIGAN AVE,"BRICK, NJ 08724",BRICK,ExaStr,"571 MICHIGAN AVE, BRICK, NJ 08724",08724,1242,R001,Rooftop,40.108861,-74.125088,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3923,26517863,34029,07  01408-  07-00027,26517863,US,NJ,567 MICHIGAN AVE,"BRICK, NJ 08724",BRICK,ExaStr,"567 MICHIGAN AVE, BRICK, NJ 08724",08724,1242,R001,Rooftop,40.108391,-74.124794,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3924,26517864,34029,07  01408-  07-00023,26517864,US,NJ,565 MICHIGAN AVE,"BRICK, NJ 08724",BRICK,ExaStr,"565 MICHIGAN AVE, BRICK, NJ 08724",08724,1242,R001,Rooftop,40.108193,-74.124672,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3925,26517865,34029,07  01412-  09-00006,26517865,US,NJ,568 MICHIGAN AVE,"BRICK, NJ 08724",BRICK,ExaStr,"568 MICHIGAN AVE, BRICK, NJ 08724",08724,0801,R001,Rooftop,40.108330,-74.125322,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3926,26517866,34029,07  01408-  07-00040,26517866,US,NJ,575 MICHIGAN AVE,"BRICK, NJ 08724",BRICK,ExaStr,"575 MICHIGAN AVE, BRICK, NJ 08724",08724,1242,R001,Rooftop,40.109063,-74.125255,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3927,26517867,34029,07  01412-  09-00001,26517867,US,NJ,577 ALABAMA AVE,"BRICK, NJ 08724",BRICK,ExaStr,"577 ALABAMA AVE, BRICK, NJ 08724",08724,1201,R001,Rooftop,40.108709,-74.125536,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3928,26519733,34029,07  01430-  06-00013,26519733,US,NJ,30 SANFORD RD,"BRICK, NJ 08724",BRICK,ExaStr,"30 SANFORD RD, BRICK, NJ 08724",08724,7134,C031,Rooftop,40.101680,-74.146847,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,"1148fea364fe87499fb99cef79d52513,35f6b790c4ff5e14bd7e24453b95b8b7,19c3e2ba034800a1ab43160454a103aa","6cc582b5c71111bf85e30016827d5235,c0917319b635e618e4d0a5b3b0bb1c3e,d38c66da926a0a640da299a02c776c78,77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3,0360ccbbc494a1face362d17b0b2d10e,a950220bc2fe30f9ce178cfc8f646c40",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3929,26519734,34029,07  01430-  06-00012,26519734,US,NJ,28 SANFORD RD,"BRICK, NJ 08724",BRICK,ExaStr,"28 SANFORD RD, BRICK, NJ 08724",08724,7134,C031,Rooftop,40.101524,-74.147022,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,"19c3e2ba034800a1ab43160454a103aa,35f6b790c4ff5e14bd7e24453b95b8b7,1148fea364fe87499fb99cef79d52513","c0917319b635e618e4d0a5b3b0bb1c3e,d38c66da926a0a640da299a02c776c78,6cc582b5c71111bf85e30016827d5235,77f11cd01f2162689f97758fc8213ad1,a950220bc2fe30f9ce178cfc8f646c40,0360ccbbc494a1face362d17b0b2d10e,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3930,26519735,34029,07  01430-  06-00011,26519735,US,NJ,26 SANFORD RD,"BRICK, NJ 08724",BRICK,ExaStr,"26 SANFORD RD, BRICK, NJ 08724",08724,7134,C031,Rooftop,40.101368,-74.147197,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,"19c3e2ba034800a1ab43160454a103aa,1148fea364fe87499fb99cef79d52513,35f6b790c4ff5e14bd7e24453b95b8b7","aa39c0905ea65584fc4c1d0bfa43c9c3,c0917319b635e618e4d0a5b3b0bb1c3e,d38c66da926a0a640da299a02c776c78,6cc582b5c71111bf85e30016827d5235,77f11cd01f2162689f97758fc8213ad1,a950220bc2fe30f9ce178cfc8f646c40,0360ccbbc494a1face362d17b0b2d10e",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
