,saleamt,saleTransDate,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,lot.lotSize1,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.N4,location.geoIdV4.SB,location.geoIdV4.ZI,summary.propclass,summary.propsubtype,summary.proptype,summary.yearbuilt,summary.propLandUse,summary.propIndicator,building.size.universalsize,building.rooms.bathstotal,building.rooms.beds,vintage.lastModified,vintage.pubDate,identifier.apnOrig,location.geoIdV4.PL
20,95000.0,2016-06-10,92555,34029,07  01427-0000-00005-0000-C0213,92555,0.119697,US,NJ,213 BRIAR MILLS DR,"BRICK, NJ 08724",BRICK,ExaStr,"213 BRIAR MILLS DR, BRICK, NJ 08724",08724,1438,C080,Rooftop,40.108498,-74.133618,0.0,"CO34029, CS3407420, DB3402220, RS0000305954, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,b34509458f4b6e207e3e7e123db964eb,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1974.0,CONDOMINIUM,11,1120,2.0,2.0,2019-07-31,2019-07-31,,
21,225000.0,2005-11-04,92599,34029,07  01343-  27-00050,92599,0.1687098,US,NJ,231 20TH AVE,"BRICK, NJ 08724",BRICK,ExaStr,"231 20TH AVE, BRICK, NJ 08724",08724,1730,C068,Rooftop,40.098335,-74.096094,0.0,"CO34029, CS3407420, DB3402220, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1955.0,SFR,10,936,2.0,3.0,2022-10-05,2022-10-05,,
22,548000.0,2017-12-01,92709,34029,07  00899-0000-00006,92709,0.3673095,US,NJ,14 DAVOS RD,"BRICK, NJ 08724",BRICK,ExaStr,"14 DAVOS RD, BRICK, NJ 08724",08724,4306,C008,Rooftop,40.059696,-74.107209,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1955.0,SFR,10,3576,2.0,4.0,2022-10-05,2022-10-05,,
23,445000.0,2005-03-21,92810,34029,07  01026-  03-00018,92810,0.2582645,US,NJ,104 SULLIVAN RD,"BRICK, NJ 08724",BRICK,ExaStr,"104 SULLIVAN RD, BRICK, NJ 08724",08724,3840,C047,Rooftop,40.075989,-74.100924,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,2002.0,SFR,10,2517,2.0,5.0,2022-10-03,2022-10-03,,
24,210000.0,2015-11-11,97257,34029,07  00902-  40-00006,97257,0.2410009,US,NJ,135 MERIDIAN DR,"BRICK, NJ 08724",BRICK,ExaStr,"135 MERIDIAN DR, BRICK, NJ 08724",08724,4459,C022,Rooftop,40.064207,-74.102605,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1975.0,SFR,10,1512,2.0,3.0,2022-10-05,2022-10-05,,
25,,,98760,34029,07  01429-  02-00002-0000-C1412,98760,0.1449036,US,NJ,1412 ISABELLA CT,"BRICK, NJ 08724",BRICK,ExaStr,"1412 ISABELLA CT, BRICK, NJ 08724",08724,7119,C031,Rooftop,40.102127,-74.144208,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1974.0,CONDOMINIUM,11,1428,2.0,3.0,,,,
26,142000.0,2018-08-24,99723,34029,07  01386-0000-00018-0000-C0290,99723,0.1215106,US,NJ,290 GREENWOOD LOOP RD,"BRICK, NJ 08724",BRICK,ExaStr,"290 GREENWOOD LOOP RD, BRICK, NJ 08724",08724,1273,C056,Rooftop,40.105527,-74.113484,0.0,"CO34029, CS3407420, DB3402220, RS0000415491, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,767ceac9942c698ce821627fae665002,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1984.0,CONDOMINIUM,11,1080,2.0,2.0,2019-11-09,2019-11-09,,
27,227000.0,2019-05-20,106941,34029,07  01430-  06-00014,106941,0.232438,US,NJ,32 SANFORD RD,"BRICK, NJ 08724",BRICK,ExaStr,"32 SANFORD RD, BRICK, NJ 08724",08724,7134,C031,Rooftop,40.101836,-74.146672,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,"1148fea364fe87499fb99cef79d52513,19c3e2ba034800a1ab43160454a103aa,35f6b790c4ff5e14bd7e24453b95b8b7",,"77f11cd01f2162689f97758fc8213ad1,0360ccbbc494a1face362d17b0b2d10e,6cc582b5c71111bf85e30016827d5235,aa39c0905ea65584fc4c1d0bfa43c9c3,d38c66da926a0a640da299a02c776c78,a950220bc2fe30f9ce178cfc8f646c40,c0917319b635e618e4d0a5b3b0bb1c3e",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1957.0,SFR,10,1876,2.0,3.0,2022-04-27,2022-04-27,,
28,495000.0,2022-05-19,126168,34029,07  00813-  11-00020,126168,0.3000918,US,NJ,1738 BURRSVILLE RD,"BRICK, NJ 08724",BRICK,ExaStr,"1738 BURRSVILLE RD, BRICK, NJ 08724",08724,2332,C079,Rooftop,40.092131,-74.144010,0.0,"CO34029, CS3407420, DB3402220, RS0000268499, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,eedd93b3ac80e116e48b209a6a0a64d2,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,2005.0,SFR,10,1704,3.0,3.0,2023-01-20,2023-01-20,,
29,75000.0,,143022,34029,07  01135-0000-00002-  01,143022,0.3885904,US,NJ,245 VAN ZILE RD,"BRICK, NJ 08724",BRICK,ExaStr,"245 VAN ZILE RD, BRICK, NJ 08724",08724,2523,C050,Rooftop,40.081487,-74.120243,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1900.0,SFR,10,1120,1.0,3.0,2020-09-03,2020-09-03,,
